driver_id,policy_number,first_name,last_name,vin,gender,vehicle_make,vehicle_model,vehicle_year,claim_history
1,359-8000-7829,West,Fluin,JN8AZ2KR0AT835957,Male,Tesla,Model S,2020,4
2,666-9821-8411,Appolonia,Webb,1FTWF3C53AE717642,Female,Tesla,Model 3,2018,4
3,548-7981-1036,Teresita,Toke,WBAGN63482D069206,Female,Tesla,Model S,2023,3
4,503-7939-8502,Lani,Dignon,5J6TF1H36CL233913,Female,Tesla,Model 3,2018,0
5,711-9013-7798,Donnajean,Eakens,1VWAP7A34EC208256,Female,Tesla,Model S,2015,1
6,648-1170-7335,Fayre,Crother,5GAKRAKD5EJ723544,Female,Tesla,Model X,2015,4
7,028-0897-4094,Darrick,Lage,1FTEW1CF1FK708553,Male,Tesla,Model X,2017,2
8,762-7167-7741,Ermanno,Teasdale,1C3CDFAA0ED328812,Male,Tesla,Model S,2018,0
9,012-7186-4121,Lyndsay,Lawling,2G61N5S33F9891557,Female,Tesla,Model X,2020,4
10,941-0066-0611,Buckie,Vaugham,SCBFT7ZAXFC873268,Male,Tesla,Model S,2023,5
11,377-4448-6005,Kris,Speere,1GYS4LKJ9FR933446,Male,Tesla,Model S,2023,5
12,063-5076-3964,Gerick,Pues,2B3CA7CW1AH903145,Male,Tesla,Model 3,2016,3
13,962-8491-2340,Thayne,Ceschi,WAUXD68D02A916281,Agender,Tesla,Model Y,2015,4
14,487-8747-9789,Boigie,Suett,WAUDF58EX5A857874,Male,Tesla,Model Y,2023,2
15,574-5930-1713,Micky,Robinet,3D7TT2CT7BG416220,Male,Tesla,Model X,2021,6
16,249-2491-1202,Ted,Coal,3C4PDDBG3ET561100,Polygender,Tesla,Model X,2016,3
17,751-8864-3640,Delila,Van Ross,SALGR2VF5EA153173,Female,Tesla,Model 3,2022,6
18,975-1747-1984,Mehetabel,Sherston,WAUSH74F68N191072,Female,Tesla,Model Y,2020,5
19,914-6993-0962,Iris,Minger,5GAKVDED0CJ391499,Agender,Tesla,Model Y,2016,3
20,541-3751-0625,Sax,Lung,WBAEJ134X3A701504,Male,Tesla,Model Y,2018,6
21,909-5215-0786,Abbie,Raulstone,TRURD38J181600788,Female,Tesla,Model X,2022,7
22,017-7070-1567,Baryram,Reay,WD3PE7DC8F5089075,Male,Tesla,Model S,2022,2
23,203-2989-9396,Evangeline,Broome,YV1612FHXD2567384,Female,Tesla,Model 3,2019,4
24,184-1792-9271,Niven,Whightman,2C3CDXCTXCH254724,Male,Tesla,Model X,2017,2
25,464-8253-4244,Rosmunda,Baumford,4JGBF2FE5BA932922,Female,Tesla,Model 3,2021,5
26,585-9841-8727,Morry,Cutts,WAUGN74F79N864645,Male,Tesla,Model X,2023,5
27,957-8093-0084,Parry,Buckett,WAUVF78K89A720556,Male,Tesla,Model Y,2016,3
28,886-5414-5804,Jesse,Ebourne,3VW4A7AT3DM272042,Male,Tesla,Model X,2021,5
29,783-7786-8509,Wilbur,Di Biasi,WAUKFBFL9AA744466,Male,Tesla,Model Y,2017,3
30,431-2764-7266,Vin,Bendel,WBAEV53413K102481,Male,Tesla,Model 3,2019,2
31,893-2282-0071,Adara,Newlands,WAUEL74F56N037624,Female,Tesla,Model X,2017,4
32,159-8966-8678,Hollie,Faircley,1FTSF3B56AE365897,Female,Tesla,Model 3,2023,6
33,917-5938-0479,Derril,Yanuk,WBADN63431G664710,Male,Tesla,Model S,2023,4
34,615-3093-5682,Stacey,Edelheit,1G6AB5RX0D0914365,Female,Tesla,Model 3,2023,2
35,500-1774-0376,Jeremiah,Posvner,1N6AA0CH1DN961506,Male,Tesla,Model S,2023,1
36,654-1868-1074,Pammi,Adshede,5NPDH4AE1EH819802,Female,Tesla,Model 3,2020,0
37,476-4420-8594,Eugenie,Maydwell,1G6KF57994U141031,Female,Tesla,Model S,2020,0
38,381-1794-1898,Clareta,Hallward,WBA3R1C58EK268559,Female,Tesla,Model X,2017,3
39,935-6074-2947,Silvia,Torbeck,JM1DE1KY0E0360615,Female,Tesla,Model X,2023,4
40,042-7823-9826,Carolin,Bould,SCFAB223X3K313097,Female,Tesla,Model 3,2023,5
41,190-0578-8577,Rebe,Balchin,3VWAL7AJ9AM930597,Female,Tesla,Model 3,2018,3
42,635-1298-1718,Aurthur,Groves,KMHCT4AE4FU714569,Male,Tesla,Model Y,2021,6
43,922-8362-0520,Laurette,O'Lagene,1FTEW1C88AF099416,Female,Tesla,Model S,2020,4
44,736-7485-1881,Bengt,Landy,1G6AB5SA5F0427204,Male,Tesla,Model Y,2017,3
45,703-5950-9682,Rhoda,Jepps,JA32U2FU3FU041838,Female,Tesla,Model S,2016,4
46,853-4425-3903,Ronnie,Currie,1G6AB1R31F0758832,Male,Tesla,Model 3,2016,3
47,300-7888-8771,Sheffie,Leipnik,19UUA66275A484794,Male,Tesla,Model X,2016,5
48,070-9882-1767,Kendricks,Ostick,1FTEW1C82AF504945,Male,Tesla,Model S,2015,3
49,096-2810-3517,Brena,Neat,JTHBE1BL5FA431538,Female,Tesla,Model 3,2016,3
50,333-0696-5727,Marlane,Speakman,WBA5B3C56FD519772,Female,Tesla,Model 3,2022,5
51,956-0498-1167,Jacquenette,Domenc,WVGAV3AX9DW806274,Female,Tesla,Model S,2018,6
